player_id,full_name,position,nationality,shirt_number,team,matches_played,goals_scored,avg_minutes,starts
843,Mikkel Damsgaard,Midfielder,,,Brentford,0,0,0.0,0
844,Dango Ouattara,Forward,,,Brentford,0,0,0.0,0
845,Keane Lewis-Potter,Defender,ENG,,Brentford,0,0,0.0,0
846,Kristoffer Ajer,Defender,,,Brentford,0,0,0.0,0
847,Mathias Jensen,Midfielder,,,Brentford,0,0,0.0,0
848,Aaron Hickey,Defender,SCT,,Brentford,0,0,0.0,0
849,Ethan Pinnock,Defender,,,Brentford,0,0,0.0,0
850,Rico Henry,Defender,ENG,,Brentford,0,0,0.0,0
851,Fabio Carvalho,Forward,,,Brentford,0,0,0.0,0
852,Antoni Milambo,Midfielder,,,Brentford,0,0,0.0,0
853,Vitaly Janelt,Midfielder,,,Brentford,0,0,0.0,0
854,Frank Onyeka,Midfielder,,,Brentford,0,0,0.0,0
855,Reiss Nelson,Forward,ENG,,Brentford,0,0,0.0,0
856,Benjamin Arthur,Defender,ENG,,Brentford,0,0,0.0,0
857,Myles Peart-Harris,Midfielder,ENG,,Brentford,0,0,0.0,0
858,Mads Roerslev,Defender,,,Brentford,0,0,0.0,0
859,Hákon Valdimarsson,Goalkeeper,,,Brentford,0,0,0.0,0
860,Dan Burn,Defender,ENG,,Newcastle Utd,0,0,0.0,0
861,Nick Pope,Goalkeeper,ENG,,Newcastle Utd,0,0,0.0,0
862,Bruno Guimarães,Midfielder,,,Newcastle Utd,0,0,0.0,0
863,Sandro Tonali,Midfielder,,,Newcastle Utd,0,0,0.0,0
864,Joelinton,Midfielder,,,Newcastle Utd,0,0,0.0,0
865,Kieran Trippier,Defender,ENG,,Newcastle Utd,0,0,0.0,0
866,Sven Botman,Defender,,,Newcastle Utd,0,0,0.0,0
867,Nick Woltemade,Forward,,,Newcastle Utd,0,0,0.0,0
868,Anthony Gordon,Forward,ENG,,Newcastle Utd,0,0,0.0,0
869,Malick Thiaw,Defender,,,Newcastle Utd,0,0,0.0,0
870,Valentino Livramento,Defender,ENG,,Newcastle Utd,0,0,0.0,0
871,Jacob Murphy,Forward,ENG,,Newcastle Utd,0,0,0.0,0
872,Fabian Schär,Defender,,,Newcastle Utd,0,0,0.0,0
873,Anthony Elanga,Forward,,,Newcastle Utd,0,0,0.0,0
874,Harvey Barnes,Forward,ENG,,Newcastle Utd,0,0,0.0,0
875,Lewis Miley,Midfielder,ENG,,Newcastle Utd,0,0,0.0,0
876,William Osula,Forward,,,Newcastle Utd,0,0,0.0,0
877,Lewis Hall,Defender,ENG,,Newcastle Utd,0,0,0.0,0
878,Jacob Ramsey,Midfielder,ENG,,Newcastle Utd,0,0,0.0,0
879,Joe Willock,Midfielder,ENG,,Newcastle Utd,0,0,0.0,0
880,Emil Krafth,Defender,,,Newcastle Utd,0,0,0.0,0
881,Jamaal Lascelles,Defender,ENG,,Newcastle Utd,0,0,0.0,0
882,Aaron Ramsdale,Goalkeeper,ENG,,Newcastle Utd,0,0,0.0,0
883,Park Seungsoo,Midfielder,,,Newcastle Utd,0,0,0.0,0
884,James Garner,Midfielder,ENG,,Everton,0,0,0.0,0
885,Jordan Pickford,Goalkeeper,ENG,,Everton,0,0,0.0,0
886,James Tarkowski,Defender,ENG,,Everton,0,0,0.0,0
887,Michael Keane,Defender,ENG,,Everton,0,0,0.0,0
888,Jake O'Brien,Defender,,,Everton,0,0,0.0,0
889,Idrissa Gana Gueye,Midfielder,,,Everton,0,0,0.0,0
890,Iliman Ndiaye,Forward,,,Everton,0,0,0.0,0
891,Kiernan Dewsbury-Hall,Midfielder,ENG,,Everton,0,0,0.0,0
892,Jack Grealish,Forward,ENG,,Everton,0,0,0.0,0
893,Vitaliy Mykolenko,Defender,,,Everton,0,0,0.0,0
894,Beto,Forward,,,Everton,0,0,0.0,0
895,Thierno Barry,Forward,,,Everton,0,0,0.0,0
896,Tim Iroegbunam,Midfielder,ENG,,Everton,0,0,0.0,0
897,Carlos Alcaraz,Forward,,,Everton,0,0,0.0,0
898,Tyler Dibling,Forward,ENG,,Everton,0,0,0.0,0
899,Merlin Röhl,Midfielder,,,Everton,0,0,0.0,0
900,Dwight McNeil,Forward,ENG,,Everton,0,0,0.0,0
901,Séamus Coleman,Forward,,,Everton,0,0,0.0,0
902,Harrison Armstrong,Forward,ENG,,Everton,0,0,0.0,0
903,Adam Aznou,Defender,,,Everton,0,0,0.0,0
904,Elijah Campbell,Defender,ENG,,Everton,0,0,0.0,0
905,Youssef Chermiti,Forward,,,Everton,0,0,0.0,0
906,Tom King,Goalkeeper,WLS,,Everton,0,0,0.0,0
907,Tyler Onyango,Midfielder,ENG,,Everton,0,0,0.0,0
908,Nathan Patterson,Defender,SCT,,Everton,0,0,0.0,0
909,Mark Travers,Goalkeeper,,,Everton,0,0,0.0,0
910,Harry Tyrer,Goalkeeper,ENG,,Everton,0,0,0.0,0
911,Bernd Leno,Goalkeeper,,,Fulham,0,0,0.0,0
912,Sander Berge,Midfielder,,,Fulham,0,0,0.0,0
913,Alex Iwobi,Forward,,,Fulham,0,0,0.0,0
914,Calvin Bassey,Defender,,,Fulham,0,0,0.0,0
915,Joachim Andersen,Defender,,,Fulham,0,0,0.0,0
916,Ryan Sessegnon,Defender,ENG,,Fulham,0,0,0.0,0
917,Joshua King,Midfielder,ENG,,Fulham,0,0,0.0,0
918,Saša Lukić,Midfielder,,,Fulham,0,0,0.0,0
919,Kenny Tete,Defender,,,Fulham,0,0,0.0,0
920,Harry Wilson,Forward,WLS,,Fulham,0,0,0.0,0
921,Timothy Castagne,Defender,,,Fulham,0,0,0.0,0
922,Raúl Jiménez,Forward,,,Fulham,0,0,0.0,0
924,Issa Diop,Defender,,,Fulham,0,0,0.0,0
925,Jorge Cuenca,Defender,,,Fulham,0,0,0.0,0
926,Adama Traoré,Forward,,,Fulham,0,0,0.0,0
927,Kevin,Forward,,,Fulham,0,0,0.0,0
928,Emile Smith Rowe,Midfielder,ENG,,Fulham,0,0,0.0,0
929,Tom Cairney,Midfielder,SCT,,Fulham,0,0,0.0,0
930,Antonee Robinson,Defender,,,Fulham,0,0,0.0,0
931,Samuel Chukwueze,Forward,,,Fulham,0,0,0.0,0
932,Jonah Kusi-Asare,Forward,,,Fulham,0,0,0.0,0
933,Samuel Amissah,Defender,ENG,,Fulham,0,0,0.0,0
934,Benjamin Lecomte,Goalkeeper,,,Fulham,0,0,0.0,0
935,Andreas Pereira,Midfielder,,,Fulham,0,0,0.0,0
936,Harrison Reed,Midfielder,ENG,,Fulham,0,0,0.0,0
937,Joe Rodon,Defender,WLS,,Leeds United,0,0,0.0,0
938,Jayden Bogle,Defender,ENG,,Leeds United,0,0,0.0,0
939,Gabriel Gudmundsson,Defender,,,Leeds United,0,0,0.0,0
940,Pascal Struijk,Defender,,,Leeds United,0,0,0.0,0
941,Sean Longstaff,Midfielder,ENG,,Leeds United,0,0,0.0,0
942,Anton Stach,Midfielder,,,Leeds United,0,0,0.0,0
